SA2 code,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
204021066,51228.0,53216.0,54321.0,55771.5,58005.34770392666,58470.011959985335,60811.944702790846,63552.14715254296,66773.78344350858,70581.85225586717
204021067,46917.0,48495.0,50364.0,51285.0,52691.76331308078,52980.83356570973,54434.1141147334,56113.90165604649,58061.97895523468,60329.65010778058
204031068,49669.0,50023.0,51861.0,52740.75,54082.760609489786,54357.992336488096,55741.15435875989,57336.80616692524,59183.30139873489,61327.506884423005
204031069,44688.0,46724.0,48316.0,49619.75000000001,51628.14522298514,52046.08251705626,54152.68530127718,56618.537986543946,59518.94070521657,62949.04534089829
204031070,50525.0,52982.0,53354.0,54275.5,55681.623437324284,55970.13385452353,57420.16042273613,59093.702122278206,61031.30984921762,63282.591711156645
204031071,45776.0,47691.0,49515.0,50761.25000000001,52677.675562329605,53075.431110160884,55079.22559731744,57418.601408079,60162.17934487385,63396.18499480902
204031072,47641.0,47150.0,50034.0,50903.0,52229.13943518407,52501.27711457713,53869.05531977462,55447.89376584113,57276.14514597317,59400.74506018693
204031073,53907.0,54887.0,57813.0,59140.0,61176.18857350423,61597.44747152218,63718.24589388506,66186.29052931741,69070.38686015648,72456.38045014125
204031074,53331.0,54529.0,56835.0,58054.50000000001,59922.99994061759,60308.72756493844,62249.78043549644,64503.74739633634,67131.27441366298,70207.65214198116
204031075,54067.0,54936.0,57183.0,58406.99999999999,60282.299512092744,60669.401629519954,62617.34107641499,64879.13423160683,67515.56172272844,70602.06820515162
205011076,49765.0,51698.0,53202.0,54684.49999999999,56970.215891789776,57446.46685073631,59847.62809766922,62661.84435561001,65976.71221397554,69903.21797818952
205011077,50080.0,50686.0,52722.0,53340.0,54277.86616592694,54468.73746039914,55426.44998317503,56522.82073971317,57780.63562275619,59227.166604361846
205011078,53296.0,54698.0,57124.0,58010.75000000001,59361.52285980937,59637.96794626656,61026.63036686959,62625.25226933307,64470.81316198941,66608.25625523282
205011079,54477.0,56425.0,58776.0,60304.75,62657.51864440843,63146.43086178103,65610.06668711657,68489.78961302819,71871.67261834616,75864.15512209905
205021080,23098.0,22659.0,23162.0,23193.999999999996,23242.066315516793,23251.699500761115,23299.88539040953,23354.206857082623,23415.46098308935,23484.552616435474
205021081,47567.0,48731.0,50622.0,51454.75,52724.423552877204,52984.62423862841,54292.048258858274,55799.194344137686,57541.801825644245,59563.4595302358
