id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_latitude,min_pri_longitude,min_pri_distance,min_pri_duration,min_sec_latitude,min_sec_longitude,min_sec_distance,min_sec_duration,min_other_latitude,min_other_longitude,min_other_distance,min_other_duration
435096963,16 Arianne Road,Glen Waverley,3150,580,House,3,1,2,0,N,-37.876541,145.173363,-37.87472,145.16759,,,-37.8781,145.16211,,,-37.88836,145.16175,,
434854271,3/2 Florence St,Glen Waverley,3150,890,Townhouse,4,4,2,0,N,-37.879895,145.159545,-37.8868,145.16389,,,-37.8781,145.16211,,,-37.88836,145.16175,,
435022719,2/27 Jordan Grove,Glen Waverley,3150,655,Townhouse,3,2,7,1,N,-37.88785826,145.16717943,-37.8868,145.16389,,,-37.8781,145.16211,,,-37.88836,145.16175,,
435009539,14 Pentland Court,Glen Waverley,3150,680,House,5,2,2,0,N,-37.885915,145.182171,-37.88348,145.17881,,,-37.89951,145.16634,,,-37.88836,145.16175,,
422087346,2 Castle Close,Glen Waverley,3150,460,House,4,1,1,0,N,-37.873688,145.187829,-37.86528,145.18777,,,-37.86541,145.17682,,,-37.85114,145.1806,,
435147615,22 Jade Circuit,Burwood East,3151,695,House,4,2,2,0,N,-37.85281875,145.16176359,-37.84675,145.16328,,,-37.84852,145.16373,,,-37.84789,145.14829,,
435141695,304/15 Foundation Boulevard,Burwood East,3151,600,Apartment,2,1,1,0,N,-37.8497616,145.13534814,-37.85165,145.12591,,,-37.88273,145.10026,,,-37.8572,145.14212,,
434935367,2/2 Tiller St,Burwood East,3151,670,House,4,3,2,0,N,-37.85214298,145.14363405,-37.85973,145.15181,,,-37.86909,145.13231,,,-37.8572,145.14212,,
430659502,20 Ellesmere Road,Burwood East,3151,450,House,3,2,0,0,N,-37.855256,145.154907,-37.85973,145.15181,,,-37.84852,145.16373,,,-37.84789,145.14829,,
435024455,41A Robinlee Avenue,Burwood East,3151,800,Townhouse,4,3,1,0,N,-37.84967191,145.15855842,-37.84675,145.16328,,,-37.84852,145.16373,,,-37.84789,145.14829,,
434825407,8 Manooka Street,Burwood East,3151,500,House,3,1,1,0,N,-37.85744,145.143065,-37.85973,145.15181,,,-37.86909,145.13231,,,-37.8572,145.14212,,
434920995,11 Sevenoaks Road,Burwood East,3151,400,Unit,3,1,0,0,N,-37.854361,145.15818,-37.85973,145.15181,,,-37.84852,145.16373,,,-37.84789,145.14829,,
435012399,92 Burwood Highway,Burwood East,3151,500,House,3,1,2,0,N,-37.85147106,145.14006093,-37.84023,145.14653,,,-37.86909,145.13231,,,-37.8572,145.14212,,
435006559,2 Mallawa Court,Burwood East,3151,480,House,4,1,1,0,N,-37.858225,145.143148,-37.85973,145.15181,,,-37.86909,145.13231,,,-37.8572,145.14212,,
435099563,31 Bowen Crescent,Burwood East,3151,600,House,4,2,2,0,N,-37.858248,145.141772,-37.86802,145.14135,,,-37.86909,145.13231,,,-37.8572,145.14212,,
434786423,20 Davis Street,Burwood East,3151,440,House,3,1,0,0,N,-37.849603,145.144455,-37.84023,145.14653,,,-37.84852,145.16373,,,-37.84789,145.14829,,
435092423,1/17 Dawayne Street,Burwood East,3151,390,Unit,2,1,0,0,N,-37.84942,145.160371,-37.84675,145.16328,,,-37.84852,145.16373,,,-37.84789,145.14829,,
434977819,136 Eley Road,Burwood East,3151,545,House,3,1,3,0,N,-37.847775,145.149093,-37.84023,145.14653,,,-37.84852,145.16373,,,-37.84789,145.14829,,
430354546,62 Crow Street,Burwood East,3151,640,House,4,2,1,0,N,-37.856954,145.136269,-37.85165,145.12591,,,-37.86909,145.13231,,,-37.8572,145.14212,,
435069391,8 Joan Crescent,Burwood East,3151,435,House,3,1,1,0,N,-37.848046,145.1572,-37.84675,145.16328,,,-37.84852,145.16373,,,-37.84789,145.14829,,
434954199,24 Pippin Avenue,Burwood East,3151,470,House,3,1,1,0,N,-37.851563,145.15101,-37.85973,145.15181,,,-37.84852,145.16373,,,-37.84789,145.14829,,
434947883,53 Mudgee Street,Burwood East,3151,470,House,3,1,1,0,N,-37.855351,145.142652,-37.85973,145.15181,,,-37.86909,145.13231,,,-37.8572,145.14212,,
