id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_secondary_lat,closest_secondary_long,closest_train_lat,closest_train_long,closest_tram_lat,closest_tram_long,closest_bus_lat,closest_bus_long,closest_park_lat,closest_park_long
434456195,4 Crimea Street,Richmond,3121,750,House,3,1,1,0,N,-37.829475,145.009547,-37.82957,144.99907,-37.82251,145.01433,-37.82756,145.007555,-37.827048,145.009784,-37.834738,145.004646,-37.83096796,145.0029147
434665595,1/77 Fraser Street,Richmond,3121,430,Apartment,2,1,0,0,N,-37.822844,145.00593,-37.81585,145.00824,-37.81741,145.0028,-37.82756,145.007555,-37.826392,145.00511,-37.834738,145.004646,-37.83096796,145.0029147
434772355,3/397 Church Street,Richmond,3121,670,Townhouse,2,2,1,0,N,-37.82472704,144.9983063,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.824058,144.998163,-37.824442,144.989007,-37.83096796,145.0029147
434769755,157 Somerset Street,Richmond,3121,825,House,3,2,1,0,N,-37.81600843,145.0072003,-37.81585,145.00824,-37.81741,145.0028,-37.82756,145.007555,-37.81948,145.007772,-37.803747,145.01158,-37.81742702,145.0151437
434556211,42 Hunter Street,Richmond,3121,650,House,3,2,0,0,N,-37.82068995,145.0052532,-37.81585,145.00824,-37.81741,145.0028,-37.82756,145.007555,-37.819083,145.003977,-37.834738,145.004646,-37.81742702,145.0151437
427699410,70 Elizabeth Street,Richmond,3121,590,House,2,1,1,0,N,-37.811418,144.994322,-37.81363,144.99574,-37.80298,144.9905,-37.810398,144.9925,-37.809994,144.99576,-37.810424,144.991386,-37.80745804,145.00663
434723427,48 Somerset Street,Richmond,3121,1045,House,3,2,1,0,N,-37.81582332,145.0025875,-37.81464,145.00748,-37.81648,145.00226,-37.814949,144.991423,-37.815749,144.999773,-37.812662,144.990985,-37.80745804,145.00663
434872067,104 Bridge Road,Richmond,3121,675,House,4,1,1,0,N,-37.818129,144.993606,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.818023,144.993577,-37.817298,144.990178,-37.83096796,145.0029147
434870907,419 Punt Road,Richmond,3121,600,House,3,1,0,0,N,-37.82702,144.988662,-37.83169,144.9848,-37.83169,144.9848,-37.824074,144.990164,-37.824677,144.989057,-37.824778,144.9886,-37.83096796,145.0029147
434762731,601/20 Burnley Street,Richmond,3121,750,Apartment,3,3,1,0,N,-37.81266197,145.0093524,-37.81464,145.00748,-37.81648,145.00226,-37.82756,145.007555,-37.811509,145.010122,-37.803747,145.01158,-37.80745804,145.00663
